app_id,name,release_date,price,payment_type,release_date_dt,short_description,header_image,genres_str,genres,tags_str,tags
10,Counter-Strike,"1 Nov, 2000",69999.0,Paid,2000-11-01,Play the world's number 1 online action game. Engage in an incredibly realistic brand of terrorist warfare in this wildly popular team-based game. Ally with teammates to complete strategic missions. Take out enemy sites. Rescue hostages. Your role affects your team's success. Your team's success affects your role.,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/10/header.jpg?t=1729702322,Action,['Action'],"Multi-player, PvP, Online PvP, Shared/Split Screen PvP, Valve Anti-Cheat enabled, Family Sharing, Action","['Multi-player', 'PvP', 'Online PvP', 'Shared/Split Screen PvP', 'Valve Anti-Cheat enabled', 'Family Sharing', 'Action']"
20,Team Fortress Classic,"1 Apr, 1999",47499.0,Paid,1999-04-01,"One of the most popular online action games of all time, Team Fortress Classic features over nine character classes -- from Medic to Spy to Demolition Man -- enlisted in a unique style of online team warfare. Each character class possesses unique weapons, items, and abilities, as teams compete online in a variety of game play modes.",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/20/header.jpg?t=1729702194,Action,['Action'],"Multi-player, PvP, Online PvP, Shared/Split Screen PvP, Valve Anti-Cheat enabled, Remote Play Together, Family Sharing, Action","['Multi-player', 'PvP', 'Online PvP', 'Shared/Split Screen PvP', 'Valve Anti-Cheat enabled', 'Remote Play Together', 'Family Sharing', 'Action']"
30,Day of Defeat,"1 May, 2003",47499.0,Paid,2003-05-01,"Enlist in an intense brand of Axis vs. Allied teamplay set in the WWII European Theatre of Operations. Players assume the role of light/assault/heavy infantry, sniper or machine-gunner class, each with a unique arsenal of historical weaponry at their disposal. Missions are based on key historical operations.",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/30/header.jpg?t=1729702105,Action,['Action'],"Multi-player, Valve Anti-Cheat enabled, Family Sharing, Action","['Multi-player', 'Valve Anti-Cheat enabled', 'Family Sharing', 'Action']"
40,Deathmatch Classic,"1 Jun, 2001",47499.0,Paid,2001-06-01,"Enjoy fast-paced multiplayer gaming with Deathmatch Classic (a.k.a. DMC). Valve's tribute to the work of id software, DMC invites players to grab their rocket launchers and put their reflexes to the test in a collection of futuristic settings.",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/40/header.jpg?t=1729702150,Action,['Action'],"Multi-player, PvP, Online PvP, Shared/Split Screen PvP, Valve Anti-Cheat enabled, Remote Play Together, Family Sharing, Action","['Multi-player', 'PvP', 'Online PvP', 'Shared/Split Screen PvP', 'Valve Anti-Cheat enabled', 'Remote Play Together', 'Family Sharing', 'Action']"
50,Half-Life: Opposing Force,"1 Nov, 1999",47499.0,Paid,1999-11-01,"Return to the Black Mesa Research Facility as one of the military specialists assigned to eliminate Gordon Freeman. Experience an entirely new episode of single player action. Meet fierce alien opponents, and experiment with new weaponry. Named 'Game of the Year' by the Academy of Interactive Arts and Sciences.",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/50/header.jpg?t=1738795037,Action,['Action'],"Single-player, Multi-player, Valve Anti-Cheat enabled, Family Sharing, Action","['Single-player', 'Multi-player', 'Valve Anti-Cheat enabled', 'Family Sharing', 'Action']"
60,Ricochet,"1 Nov, 2000",47499.0,Paid,2000-11-01,"A futuristic action game that challenges your agility as well as your aim, Ricochet features one-on-one and team matches played in a variety of futuristic battle arenas.",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/60/header.jpg?t=1729701834,Action,['Action'],"Multi-player, PvP, Online PvP, Valve Anti-Cheat enabled, Family Sharing, Action","['Multi-player', 'PvP', 'Online PvP', 'Valve Anti-Cheat enabled', 'Family Sharing', 'Action']"
70,Half-Life,"19 Nov, 1998",69999.0,Paid,1998-11-19,"Named Game of the Year by over 50 publications, Valve's debut title blends action and adventure with award-winning technology to create a frighteningly realistic world where players must think to survive. Also includes an exciting multiplayer mode that allows you to play against friends and enemies around the world.",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/70/header.jpg?t=1738795025,Action,['Action'],"Single-player, Multi-player, PvP, Online PvP, Full controller support, Steam Cloud, Valve Anti-Cheat enabled, Remote Play on Phone, Remote Play on Tablet, Family Sharing, Action","['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Full controller support', 'Steam Cloud', 'Valve Anti-Cheat enabled', 'Remote Play on Phone', 'Remote Play on Tablet', 'Family Sharing', 'Action']"
80,Counter-Strike: Condition Zero,"1 Mar, 2004",69999.0,Paid,2004-03-01,"With its extensive Tour of Duty campaign, a near-limitless number of skirmish modes, updates and new content for Counter-Strike's award-winning multiplayer game play, plus over 12 bonus single player missions, Counter-Strike: Condition Zero is a tremendous offering of single and multiplayer content.",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/80/header.jpg?t=1729702001,Action,['Action'],"Single-player, Multi-player, Valve Anti-Cheat enabled, Family Sharing, Action","['Single-player', 'Multi-player', 'Valve Anti-Cheat enabled', 'Family Sharing', 'Action']"
100,Counter-Strike: Condition Zero Deleted Scenes,"1 Mar, 2004",69999.0,Paid,2004-03-01,"With its extensive Tour of Duty campaign, a near-limitless number of skirmish modes, updates and new content for Counter-Strike's award-winning multiplayer game play, plus over 12 bonus single player missions, Counter-Strike: Condition Zero is a tremendous offering of single and multiplayer content.",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/80/header.jpg?t=1729702001,Action,['Action'],"Single-player, Multi-player, Valve Anti-Cheat enabled, Family Sharing, Action","['Single-player', 'Multi-player', 'Valve Anti-Cheat enabled', 'Family Sharing', 'Action']"
130,Half-Life: Blue Shift,"1 Jun, 2001",47499.0,Paid,2001-06-01,"Made by Gearbox Software and originally released in 2001 as an add-on to Half-Life, Blue Shift is a return to the Black Mesa Research Facility in which you play as Barney Calhoun, the security guard sidekick who helped Gordon out of so many sticky situations.",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/130/header.jpg?t=1738795031,Action,['Action'],"Single-player, Family Sharing, Action","['Single-player', 'Family Sharing', 'Action']"
