developer,count
Square Enix,37
Valve,27
"KOEI TECMO GAMES CO., LTD.",25
Milestone S.r.l.,18
Quiet River,16
Rebellion,14
Feral Interactive (Mac),13
Relic Entertainment,13
SNK CORPORATION,12
Galactic Geckon,12
Octo Games,12
Winged Cloud,12
Daedalic Entertainment,12
RewindApp,11
Raven Software,11
"CAPCOM Co., Ltd.",11
Creobit,11
Capcom,10
"Spike Chunsoft Co., Ltd.",10
id Software,10
Firaxis Games,10
Paradox Development Studio,10
Klei Entertainment,9
Idea Factory,9
Choice of Games,9
Walter Machado,9
Nihon Falcom,9
Abstraction Games,8
WayForward,8
GirlGames,8
Dotemu,8
Crytek,8
Haemimont Games,8
Gearbox Software,8
Hosted Games,8
BANDAI NAMCO Studios Inc.,8
Arc System Works,8
Telltale Games,8
Feral Interactive (Linux),8
Saber Interactive,8
CREATIVE ASSEMBLY,8
GSC Game World,8
Ubisoft Montreal,8
Nival,7
Lovely Games,7
Frozenbyte,7
Frontwing,7
SC Jogos,7
Chilla's Art,7
KuKo,7
Double Fine Productions,7
Nightdive Studios,7
KADOKAWA,7
Sledgehammer Games,7
Croteam,6
Frictional Games,6
General Arcade,6
Racing Bros,6
Big Ant Studios,6
Ryu Ga Gotoku Studio,6
Beamdog,6
Brave Giant LTD,6
"Jackbox Games, Inc.",6
Fulqrum Publishing,6
LucasArts,6
EGAMER,6
Wales Interactive,6
Larian Studios,6
Gotcha Gotcha Games,6
DSGame,6
Stardock Entertainment,6
Cyanide Studio,6
"INTI CREATES CO., LTD.",6
qureate,6
The Behemoth,6
Crystal Dynamics,6
Humongous Entertainment,6
Sunward Games,5
SOFTSTAR ENTERTAINMENT,5
Volens Nolens Games,5
"Nippon Ichi Software, Inc.",5
Code Mystics,5
Telltale,5
Forever Entertainment S. A.,5
Randumb Studios,5
THQ Nordic,5
ACQUIRE Corp.,5
Yoji Ojima,5
Rosa Special Studio,5
Tamsoft,5
Tonguç Bodur,5
Infinity Ward,5
IllFonic,5
KING Art,5
MAGES. Inc.,5
SEGA,5
"FromSoftware, Inc.",5
Alientrap,5
Fabio Ferrara,5
Pandemic Studios,5
Clarus Victoria,5
Strange Scaffold,5
Oddworld Inhabitants,5
KONAMI,5
Beenox,5
Samurai Punk,5
NukGames,5
David Szymanski,5
Treyarch,5
IR Studio,5
Giants Software,5
Minimol Games,5
Might and Delight,5
Targem Games,5
Bethesda Game Studios,5
ACE Team,5
Gogii Games,4
Bithell Games,4
Dovetail Games,4
430Games,4
QLOC,4
Rusty Lake,4
Knuckle Cracker,4
CI Games,4
Sports Interactive,4
"Nikita ""Ghost_RUS""",4
Stoic,4
Torple Dook,4
illuCalab,4
URSE Games,4
Zen Studios,4
iMel Inc.,4
"USERJOY Technology Co.,Ltd.",4
aNCHOR Inc.,4
Pirates Of The Digital Sea,4
Volition,4
GDNomaD,4
ThinkOfGames,4
Mihai Morosanu,4
Kazakov Oleg,4
Cotton Game,4
Limbic Entertainment,4
Eversim,4
Traveller's Tales,4
Zoo Corporation,4
Konstructors,4
KOGADO STUDIO,4
TML-Studios,4
inXile Entertainment,4
樹懶叫工作室,4
Alawar Entertainment,4
Avalanche Studios,4
Alawar,4
Size Five Games,4
Wadjet Eye Games,4
Stress Level Zero,4
Milkstone Studios,4
Alawar Casual,4
Fictiorama Studios,4
Anatoliy Loginovskikh,4
eTIRUe,4
Rogueside,4
Realmforge Studios,4
Krome Studios,4
Team17 Digital Ltd,4
Irrational Games,4
Obsidian Entertainment,4
Splash Damage,4
Maker製造機,4
Edelweiss,4
ATLUS,4
Techland,4
Sixteen Tons Entertainment,4
Feral Interactive (Mac/Linux),4
COMPILE HEART,4
"Dejobaan Games, LLC",4
Miel,4
GameHouse,4
TT Games,4
Croteam VR,4
Sanuk Games,4
IDEA FACTORY,4
"CAPCOM CO., LTD.",4
Core Design,4
Hyperstrange,4
Room710Games,4
Serenity Forge,4
SCS Software,4
Digitalmindsoft,4
Gaming Minds Studios,4
Blazing Griffin,4
Kittehface Software,3
Love in Space,3
Funcom,3
Yacht Club Games,3
Double W,3
Deck13,3
Artifex Mundi,3
Blue Isle Studios,3
Entropy Digital Entertainment,3
MAGIX Software GmbH,3
Movie Games Lunarium,3
Massive Entertainment,3
△○□× (Miwashiba),3
Jordan Freeman Group,3
Arkane Studios,3
Game-Labs,3
Talentplace,3
"Tilted Mill Entertainment, Inc.",3
Bamtang Games,3
橘子班,3
Gaijin Games,3
Reality Pump,3
Double Eleven,3
FreezeNova,3
YETU GAME,3
SMG Studio,3
Hitcents,3
Mahelyk,3
Timegate,3
GameChanger Studio,3
Passtech Games,3
Image & Form Games,3
Crian Soft,3
MoeNovel,3
hyperboreanGames,3
Stately Snail,3
CD PROJEKT RED,3
Draw Distance,3
Dingo Games,3
Ubisoft Kiev,3
United Independent Entertainment,3
Big Fat Simulations Inc.,3
BottleCube inc.,3
Fire Hose Games,3
Raptor Claw Games,3
二色幽紫蝶,3
Survios,3
K Bros Games,3
"Monolith Productions, Inc.",3
Every Single Soldier,3
Black Isle Studios,3
L. Stotch,3
Keen Software House,3
Mature Games,3
Eidos-Montréal,3
Puppygames,3
Tribute Games Inc.,3
Marmalade Game Studio Ltd,3
Axis Games,3
Konnichiwa Games,3
WSS playground,3
Vaka Game Magazine,3
Byzantine Games,3
Lonely Troops,3
Sonic Team,3
Pixeljam,3
FIVE-BN GAMES,3
Easy game,3
Fireglow,3
3dm_live_wallpapers,3
WildTangent,3
Acram Digital,3
N4bA,3
Spellbound,3
Nixxes Software,3
AtomTeam,3
Forgotten Empires,3
Logic Artists,3
Flying Wild Hog,3
Minicactus Games,3
"AQURIA Co., Ltd.",3
DRAGO entertainment,3
BananaKing,3
DreadXP,3
raptor lab,3
Games Farm,3
Illwinter Game Design,3
Out of the Park Developments,3
Asobo Studio,3
TimeGate Studios,3
Frontier Developments,3
Mode 7,3
Wayward Preacher,3
HeR Interactive,3
Acerola,3
0 Deer Soft,3
Actalogic,3
Devcats,3
Whale Rock Games,3
Whirlpool,3
DIGIDICED,3
Endless Loop Studios,3
Zeboyd Digital Entertainment LLC,3
Bohemia Interactive,3
"CAPCOM CO., LTD",3
Tate Multimedia,3
Rocksteady Studios,3
Somi,3
Gagonfe,3
Appeal Studios,3
No.25,3
Team17,3
Microblast Games,3
Facepunch Studios,3
Running With Scissors,3
Perverse Games,3
Reiza Studios,3
Aspyr,3
SUPERHOT Team,3
The Farm 51,3
Live Motion Games,3
KT Racing,3
FM Studio,3
Digital Extremes,3
Maciej Targoni,3
Joe Richardson,3
Red Storm Entertainment,3
Last Day of Work,3
High Moon Studios,3
Awesome Games Studio,3
S.C. 16 BIT NIGHTS S.R.L.,3
Lil Hentai Games,3
"Cygames, Inc.",3
Tale of Tales,3
DnS Development,3
MyACG Studio,3
Aesir Interactive,3
Dieselmine,3
Sokpop Collective,3
Muse Games,3
Sierra,3
Sometimes You,3
Astronomic Games,3
Free Lives,3
Good Gate Media,3
Tango Gameworks,3
JoyMasher,3
Ubisoft  Shanghaï,3
Fatshark,3
World-Loom,3
Nitrome,3
Shiro Games,3
Hidden Path Entertainment,3
Roll7,3
Darkling Room,3
Marina Kittaka,3
Accidental Queens,3
Vladimir Maslov,3
Feodosiy,3
Melos Han-Tani,3
Broken Rules,3
永恆艾莉絲工坊,3
Harebrained Schemes,3
Hamster On Coke Games,3
Ubisoft Toronto,3
Supermassive Games,3
"Kairosoft Co.,Ltd",3
Unbound Creations,3
Silver Lemur Games,3
Frogwares,3
Black Lime Studio,3
The Gentlebros,3
"Arcen Games, LLC",3
PixelGreeds,3
Dimps Corporation,3
Snowbird Games,3
Arzola's,2
Yangyang Mobile,2
"CFK Co., Ltd.",2
Redblack Spade,2
Four Winged Studio,2
Dymchick1,2
Remedy Entertainment,2
Wide Right Interactive,2
Airem,2
Foolish Mortals Games,2
Beshbarmak games,2
stillalive studios,2
Edmund McMillen,2
Michael Long,2
Diggidy.net,2
Redaster Studio,2
Zloy Krot Studio,2
Creative Storm Entertainment,2
Stray Fawn Studio,2
DigitalDream,2
ION LANDS,2
Mark Zorn,2
Pixel vs Pixel,2
Atlas V,2
Introversion Software,2
Moonlit Works,2
Alawar Stargaze (Warm Lamp Games),2
Caveman Studio,2
Choice Provisions,2
Zach Tsiakalis-Brown,2
Tobias Springer,2
Admia,2
Headware Games,2
Renderise,2
Drift Physics Crew,2
Stormregion,2
ARTE France,2
Steamberry Studio,2
Bigmoon Entertainment,2
Chibig,2
NLT Media,2
Talpa Games,2
Furlough Games,2
SimonCreative,2
Undercoders,2
Madruga Works,2
Panda Indie Studio,2
Fredaikis AB,2
Jujubee S.A.,2
"Sickhead Games, LLC",2
Lazy Bear Games,2
MGP Studios,2
Hunny Bunny Studio,2
紳士吉娃,2
L&P,2
AdroVGames,2
KIMIDORI SOFT,2
4A Games,2
NatsumeAtari,2
Wet Girl,2
Schell Games,2
EQ Studios,2
Aluba Studio,2
Back To Basics Gaming,2
a1esska,2
Buka Development,2
Ghost Town Games Ltd.,2
MagicIndie,2
Tarsier Studios,2
Zai Studio,2
Notex,2
Brenton Wildes,2
Kan.Kikuchi,2
FLIPFLOPs,2
Playmeow,2
Travellin Cats,2
Auroch Digital,2
"ESQUADRA,inc.",2
SKIPMORE,2
Compile Heart,2
"BadFly Interactive, a.s.",2
Sigyaad Team,2
JDM4iK,2
Jon Nielsen,2
"What Pumpkin Games, Inc.",2
ARTDINK,2
Eastshade Studios,2
SnoutUp,2
Kitty,2
Dom,2
AIHASTO,2
Oxymoron Games,2
Connection,2
Mango Protocol,2
Antonio Renna,2
mino_dev,2
Follow the fun,2
Maximum Entertainment,2
凝冰剑斩,2
Crackshell,2
Alexander Taylor,2
Destructive Creations,2
Cyberwave,2
CUTE ANIME GIRLS,2
Petroglyph,2
Marvelous Inc.,2
Idol FX,2
Bikkuri Software,2
Jukio,2
JW,2
Norn,2
Simon Eftestol,2
Reflect Studios,2
