name,release_date,price,genres,tags,review_count,review_score_text,review_score,platforms,developers,publishers,category_price,release_year
Counter-Strike,2000-11-01,69999.0,['Action'],"['Multi-player', 'PvP', 'Online PvP', 'Shared/Split Screen PvP', 'Valve Anti-Cheat enabled', 'Family Sharing', 'Action']",158708,Overwhelmingly Positive,8,"['windows', 'mac', 'linux']",['Valve'],['Valve'],Paid,2000
Team Fortress Classic,1999-04-01,47499.0,['Action'],"['Multi-player', 'PvP', 'Online PvP', 'Shared/Split Screen PvP', 'Valve Anti-Cheat enabled', 'Remote Play Together', 'Family Sharing', 'Action']",6492,Very Positive,7,"['windows', 'mac', 'linux']",['Valve'],['Valve'],Paid,1999
Day of Defeat,2003-05-01,47499.0,['Action'],"['Multi-player', 'Valve Anti-Cheat enabled', 'Family Sharing', 'Action']",4234,Very Positive,7,"['windows', 'mac', 'linux']",['Valve'],['Valve'],Paid,2003
Deathmatch Classic,2001-06-01,47499.0,['Action'],"['Multi-player', 'PvP', 'Online PvP', 'Shared/Split Screen PvP', 'Valve Anti-Cheat enabled', 'Remote Play Together', 'Family Sharing', 'Action']",2291,Very Positive,7,"['windows', 'mac', 'linux']",['Valve'],['Valve'],Paid,2001
Half-Life: Opposing Force,1999-11-01,47499.0,['Action'],"['Single-player', 'Multi-player', 'Valve Anti-Cheat enabled', 'Family Sharing', 'Action']",21741,Overwhelmingly Positive,8,"['windows', 'mac', 'linux']",['Gearbox Software'],['Valve'],Paid,1999
Ricochet,2000-11-01,47499.0,['Action'],"['Multi-player', 'PvP', 'Online PvP', 'Valve Anti-Cheat enabled', 'Family Sharing', 'Action']",4284,Very Positive,7,"['windows', 'mac', 'linux']",['Valve'],['Valve'],Paid,2000
Half-Life,1998-11-19,69999.0,['Action'],"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Full controller support', 'Steam Cloud', 'Valve Anti-Cheat enabled', 'Remote Play on Phone', 'Remote Play on Tablet', 'Family Sharing', 'Action']",103508,Overwhelmingly Positive,8,"['windows', 'mac', 'linux']",['Valve'],['Valve'],Paid,1998
Counter-Strike: Condition Zero,2004-03-01,69999.0,['Action'],"['Single-player', 'Multi-player', 'Valve Anti-Cheat enabled', 'Family Sharing', 'Action']",19529,Very Positive,7,"['windows', 'mac', 'linux']",['Valve'],['Valve'],Paid,2004
Counter-Strike: Condition Zero Deleted Scenes,2004-03-01,69999.0,['Action'],"['Single-player', 'Multi-player', 'Valve Anti-Cheat enabled', 'Family Sharing', 'Action']",19529,Very Positive,7,"['windows', 'mac', 'linux']",['Valve'],['Valve'],Paid,2004
Half-Life: Blue Shift,2001-06-01,47499.0,['Action'],"['Single-player', 'Family Sharing', 'Action']",16019,Very Positive,7,"['windows', 'mac', 'linux']",['Gearbox Software'],['Valve'],Paid,2001
Half-Life 2,2004-11-16,90999.0,['Action'],"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Captions available', 'Steam Workshop', 'Steam Cloud', 'Includes Source SDK', 'Commentary available', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play Together', 'Family Sharing', 'Steam Timeline', 'Action']",177655,Overwhelmingly Positive,8,"['windows', 'mac', 'linux']",['Valve'],['Valve'],Paid,2004
Counter-Strike: Source,2004-11-01,90999.0,['Action'],"['Multi-player', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Steam Cloud', 'Valve Anti-Cheat enabled', 'Stats', 'Includes Source SDK', 'Family Sharing', 'Action']",124768,Overwhelmingly Positive,8,"['windows', 'mac', 'linux']",['Valve'],['Valve'],Paid,2004
Half-Life: Source,2004-06-01,90999.0,['Action'],"['Single-player', 'Remote Play Together', 'Family Sharing', 'Action']",13923,Mixed,4,"['windows', 'mac', 'linux']",['Valve'],['Valve'],Paid,2004
Day of Defeat: Source,2010-07-12,90999.0,['Action'],"['Multi-player', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Steam Trading Cards', 'Valve Anti-Cheat enabled', 'Stats', 'Includes Source SDK', 'Family Sharing', 'Action']",15171,Very Positive,7,"['windows', 'mac', 'linux']",['Valve'],['Valve'],Paid,2010
Half-Life 2: Deathmatch,2004-11-01,0.0,['Action'],"['Multi-player', 'Valve Anti-Cheat enabled', 'Includes Source SDK', 'Family Sharing', 'Action']",9463,Very Positive,7,"['windows', 'mac', 'linux']",['Valve'],['Valve'],Free,2004
Half-Life 2: Lost Coast,2005-10-27,0.0,['Action'],"['Single-player', 'Commentary available', 'Family Sharing', 'Action']",10718,Very Positive,7,"['windows', 'mac', 'linux']",['Valve'],['Valve'],Free,2005
Half-Life Deathmatch: Source,2006-05-01,90999.0,['Action'],"['Multi-player', 'Valve Anti-Cheat enabled', 'Family Sharing', 'Action']",3833,Mostly Positive,5,"['windows', 'mac', 'linux']",['Valve'],['Valve'],Paid,2006
Half-Life 2: Episode One,2006-06-01,0.0,['Action'],"['Single-player', 'Steam Achievements', 'Full controller support', 'Captions available', 'Steam Cloud', 'Stats', 'Includes Source SDK', 'Commentary available', 'Family Sharing', 'Action']",26362,Overwhelmingly Positive,8,"['windows', 'mac', 'linux']",['Valve'],['Valve'],Free,2006
Portal,2007-10-10,90999.0,['Action'],"['Single-player', 'Steam Achievements', 'Full controller support', 'Captions available', 'Includes level editor', 'Includes Source SDK', 'Commentary available', 'Remote Play on Phone', 'Remote Play on Tablet', 'Family Sharing', 'Action']",150716,Overwhelmingly Positive,8,"['windows', 'mac', 'linux']",['Valve'],['Valve'],Paid,2007
Half-Life 2: Episode Two,2007-10-10,0.0,['Action'],"['Single-player', 'Steam Achievements', 'Full controller support', 'Captions available', 'Steam Cloud', 'Stats', 'Includes Source SDK', 'Commentary available', 'Family Sharing', 'Action']",34367,Overwhelmingly Positive,8,"['windows', 'mac', 'linux']",['Valve'],['Valve'],Free,2007
Team Fortress 2,2007-10-10,0.0,"['Action', 'Free To Play']","['Multi-player', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Steam Trading Cards', 'Captions available', 'Steam Workshop', 'In-App Purchases', 'Partial Controller Support', 'Valve Anti-Cheat enabled', 'Stats', 'Includes level editor', 'Commentary available', 'Remote Play on Phone', 'Remote Play on Tablet', 'Action', 'Free To Play']",41674,Mostly Positive,5,"['windows', 'mac', 'linux']",['Valve'],['Valve'],Free,2007
Left 4 Dead,2008-11-17,90999.0,['Action'],"['Single-player', 'Multi-player', 'Co-op', 'Steam Achievements', 'Full controller support', 'Captions available', 'Steam Cloud', 'Valve Anti-Cheat enabled', 'Stats', 'Steam Leaderboards', 'Includes Source SDK', 'Commentary available', 'Remote Play on TV', 'Family Sharing', 'Action']",51207,Overwhelmingly Positive,8,"['windows', 'mac', 'linux']",['Valve'],['Valve'],Paid,2008
Left 4 Dead 2,2009-11-16,90999.0,['Action'],"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Captions available', 'Steam Workshop', 'Steam Cloud', 'Valve Anti-Cheat enabled', 'Stats', 'Includes Source SDK', 'Commentary available', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV', 'Remote Play Together', 'Family Sharing', 'Steam Timeline', 'Action']",721002,Overwhelmingly Positive,8,"['windows', 'mac', 'linux']",['Valve'],['Valve'],Paid,2009
Dota 2,2013-07-09,0.0,"['Action', 'Strategy', 'Free To Play']","['Multi-player', 'Co-op', 'Steam Trading Cards', 'Steam Workshop', 'SteamVR Collectibles', 'In-App Purchases', 'Valve Anti-Cheat enabled', 'Steam Timeline', 'Action', 'Strategy', 'Free To Play']",14339,Very Positive,7,"['windows', 'mac', 'linux']",['Valve'],['Valve'],Free,2013
Portal 2,2011-04-18,90999.0,"['Action', 'Adventure']","['Single-player', 'Multi-player', 'Co-op', 'Online Co-op', 'Shared/Split Screen Co-op', 'Shared/Split Screen', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Captions available', 'Steam Workshop', 'Steam Workshop', 'Steam Cloud', 'Stats', 'Includes level editor', 'Commentary available', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV', 'Remote Play Together', 'Family Sharing', 'Action', 'Adventure']",355168,Overwhelmingly Positive,8,"['windows', 'mac', 'linux']",['Valve'],['Valve'],Paid,2011
Alien Swarm,2010-07-19,0.0,"['Action', 'Free To Play']","['Single-player', 'Multi-player', 'Co-op', 'Steam Achievements', 'Captions available', 'Steam Cloud', 'Stats', 'Includes level editor', 'Action', 'Free To Play']",300,Very Positive,7,"['windows', 'mac', 'linux']",['Valve'],['Valve'],Free,2010
Counter-Strike 2,2012-08-21,0.0,"['Action', 'Free To Play']","['Multi-player', 'Cross-Platform Multiplayer', 'Steam Trading Cards', 'Steam Workshop', 'In-App Purchases', 'Valve Anti-Cheat enabled', 'Stats', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV', 'Steam Timeline', 'Action', 'Free To Play']",4423341,Very Positive,7,"['windows', 'mac', 'linux']",['Valve'],['Valve'],Free,2012
Plants vs. Zombies: Game of the Year,2009-05-05,45999.0,['Strategy'],"['Single-player', 'Steam Achievements', 'Remote Play on Phone', 'Remote Play on Tablet', 'Family Sharing', 'Strategy']",126333,Overwhelmingly Positive,8,"['windows', 'mac', 'linux']","['PopCap Games, Inc.']","['PopCap Games, Inc.', 'Electronic Arts']",Paid,2009
Escape Rosecliff Island,2009-04-15,45999.0,['Casual'],"['Single-player', 'Family Sharing', 'Casual']",138,Very Positive,7,"['windows', 'mac', 'linux']",['SpinTop Games'],"['PopCap Games, Inc.']",Paid,2009
Zuma's Revenge,2009-09-15,45999.0,"['Action', 'Casual']","['Single-player', 'Steam Achievements', 'Stats', 'Family Sharing', 'Action', 'Casual']",2403,Very Positive,7,"['windows', 'mac', 'linux']","['PopCap Games, Inc.']","['PopCap Games, Inc.', 'Electronic Arts']",Paid,2009
Sniper Elite,2009-07-16,69999.0,['Action'],"['Single-player', 'Steam Trading Cards', 'Family Sharing', 'Action']",3219,Mostly Positive,5,"['windows', 'mac', 'linux']",['Rebellion'],['Rebellion'],Paid,2009
Judge Dredd: Dredd vs Death,2009-03-26,69999.0,['Action'],"['Single-player', 'Multi-player', 'Co-op', 'Family Sharing', 'Action']",1003,Very Positive,7,"['windows', 'mac', 'linux']",['Rebellion'],['Rebellion'],Paid,2009
Evil Genius,2009-06-22,89999.0,['Strategy'],"['Single-player', 'Family Sharing', 'Strategy']",2945,Very Positive,7,"['windows', 'mac', 'linux']",['Elixir Studios'],['Rebellion'],Paid,2009
Aliens versus Predator Classic 2000,2010-01-15,47499.0,['Action'],"['Single-player', 'Multi-player', 'Family Sharing', 'Action']",2315,Very Positive,7,"['windows', 'mac', 'linux']",['Rebellion'],['Rebellion'],Paid,2010
Advent Rising,2006-09-14,69999.0,['Action'],"['Single-player', 'Steam Trading Cards', 'Family Sharing', 'Action']",382,Mostly Positive,5,"['windows', 'mac', 'linux']","['GlyphX Games', 'Cavetap']",['Ziggurat'],Paid,2006
BloodRayne,2006-09-14,0.0,['Action'],"['Single-player', 'Steam Trading Cards', 'Family Sharing', 'Action']",467,Mostly Positive,5,"['windows', 'mac', 'linux']",['Terminal Reality'],['Ziggurat'],Free,2006
BloodRayne 2,2006-09-14,0.0,['Action'],"['Single-player', 'Steam Trading Cards', 'Family Sharing', 'Action']",356,Mixed,4,"['windows', 'mac', 'linux']",['Terminal Reality'],['Ziggurat'],Free,2006
Psychonauts,2006-10-11,89999.0,['Action'],"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support', 'Steam Cloud', 'Remote Play on Phone', 'Remote Play on Tablet', 'Family Sharing', 'Action']",11017,Overwhelmingly Positive,8,"['windows', 'mac', 'linux']",['Double Fine Productions'],['Double Fine Productions'],Paid,2006
Sid Meier's Civilization IV,2006-10-25,199999.0,['Strategy'],"['Single-player', 'Multi-player', 'Includes level editor', 'Family Sharing', 'Strategy']",2498,Very Positive,7,"['windows', 'mac', 'linux']",['Firaxis Games'],['2K'],Paid,2006
Sid Meier's Civilization III: Complete,2006-10-25,47499.0,['Strategy'],"['Single-player', 'Multi-player', 'Includes level editor', 'Family Sharing', 'Strategy']",5120,Very Positive,7,"['windows', 'mac', 'linux']",['Firaxis Games'],['2K'],Paid,2006
Sid Meier's Pirates!,2005-07-11,89999.0,['RPG'],"['Single-player', 'Family Sharing', 'RPG']",5564,Very Positive,7,"['windows', 'mac', 'linux']",['Firaxis Games'],['2K'],Paid,2005
Shattered Union,2006-10-25,47499.0,['Strategy'],"['Single-player', 'Multi-player', 'Family Sharing', 'Strategy']",142,Mixed,4,"['windows', 'mac', 'linux']",['PopTop'],['2K'],Paid,2006
CivCity: Rome,2007-04-06,89999.0,['Strategy'],"['Single-player', 'Family Sharing', 'Strategy']",727,Mostly Positive,5,"['windows', 'mac', 'linux']","['FireFly Studios', 'Firaxis Games']",['2K'],Paid,2007
