publisher,count
SEGA,55
Square Enix,52
THQ Nordic,45
Devolver Digital,43
Ubisoft,40
PLAYISM,36
Valve,30
Fulqrum Publishing,30
BANDAI NAMCO Entertainment,30
Bethesda Softworks,30
Sekai Project,30
Nacon,30
Electronic Arts,29
2K,26
Slitherine Ltd.,26
PlayWay S.A.,25
XSEED Games,24
Artifex Mundi,23
Activision,22
Iceberg Interactive,22
Paradox Interactive,22
Focus Entertainment,22
Daedalic Entertainment,22
Rebellion,22
"KOEI TECMO GAMES CO., LTD.",21
Disney,21
Xbox Game Studios,20
Gamera Games,20
tinyBuild,20
Conglomerate 5,20
"Marvelous USA, Inc.",20
Mango Party,20
Kagura Games,19
KOMODO,19
Microids,18
Nightdive Studios,17
ESDigital Games,17
505 Games,17
SA Industry,17
Mango Party News,17
"Spike Chunsoft Co., Ltd.",17
WhisperGames,16
Quiet River,16
Plug In Digital,16
Forever Entertainment S. A.,16
Raw Fury,16
Strategy First,16
Capcom,16
Milestone S.r.l.,16
Warner Bros. Interactive Entertainment,15
SNK CORPORATION,15
Team17,14
LucasArts,14
Gamersky Games,14
Headup,14
Deep Silver,14
indie.io,13
Feral Interactive (Mac),13
PQube,13
Lucasfilm,13
GrabTheGames,12
8Floor,12
Playmeow,12
Humble Games,12
Armor Games Studios,12
Winged Cloud,12
MangaGamer,12
Playmeow News,12
Galactic Geckon,12
Octo Games,12
Bandai Namco Entertainment,12
Kalypso Media Digital,12
Team17 Digital Ltd,12
Curve Games,11
Neon Doctrine,11
Back To Basics Gaming,11
Maple Whispering Limited,11
Annapurna Interactive,11
Dear Villagers,11
RewindApp,11
New Reality Games,10
Arc System Works,10
OTAKU Plan,10
Assemble Entertainment,10
Crystal Dynamics,10
Topware Interactive,10
Maximum Entertainment,10
HandyGames,10
Goblinz Publishing,10
Aerosoft GmbH,9
Lovely Games,9
Warner Bros. Games,9
Walter Machado,9
United Independent Entertainment,9
HypeTrain Digital,9
"CAPCOM Co., Ltd.",9
DANGEN Entertainment,9
Choice of Games,9
GirlGames,8
Surefire.Games,8
Fellow Traveller,8
Hosted Games,8
Idea Factory International,8
Ziggurat,8
Valkyrie Initiative,8
Frontwing USA,8
Feral Interactive (Linux),8
KuKo,8
Stardock Entertainment,8
DSGame,8
PID Games,8
Twin Sails Interactive,8
Klei Entertainment,8
Shiravune,8
Volens Nolens Games,8
DreadXP,8
Ghostlight LTD,8
Untold Tales,8
Sometimes You,8
Digital Tribe,7
Deck13,7
astragon Entertainment,7
SC Jogos,7
Apogee Entertainment,7
Kalypso Media,7
Movie Games S.A.,7
Wales Interactive,7
Alawar,7
MicroProse Software,7
Marvelous,7
"NIS America, Inc.",7
Funbox Media Ltd,7
Critical Bliss,7
PlayStation Publishing LLC,7
Frictional Games,7
Good Shepherd Entertainment,7
KONAMI,7
PsychoFlux Entertainment,7
IndieArk,7
2P Games,7
Chilla's Art,7
Atari,7
ACG creator,7
The Behemoth,6
Frozen District,6
IR Studio,6
Telltale Games,6
Cherry Kiss Games,6
"Jackbox Games, Inc.",6
Funcom,6
Beamdog,6
qureate,6
Gearbox Publishing,6
Finji,6
ANPA.US,6
Versus Evil,6
indienova,6
SOFTSTAR ENTERTAINMENT,6
Gotcha Gotcha Games,6
Larian Studios,6
WayForward,6
Bohemia Interactive,6
Pixeljam,6
Telltale,5
Alawar Casual,5
GSC World Publishing,5
Chubby Pixel,5
Serenity Forge,5
Hook Games,5
Fireshine Games,5
My Way Games,5
Marvelous Europe,5
430Games,5
"INTI CREATES CO., LTD.",5
Snail Games USA,5
Interplay Entertainment Corp.,5
Alientrap,5
Humongous Entertainment,5
NukGames,5
CI Games,5
KishMish Games,5
NEOWIZ,5
Clarus Victoria,5
HeroCraft PC,5
Randumb Studios,5
Croteam,5
Akupara Games,5
Frozenbyte,5
DLsite,5
Double Fine Productions,5
Tonguç Bodur,5
Prime Matter,5
Games Operators,5
Henteko Doujin,5
Acram Digital,5
Giants Software,5
Coconut Island Games,5
Kepler Interactive,5
Minimol Games,5
LewdLoco,5
Samurai Punk,5
Application Systems Heidelberg,5
Oddworld Inhabitants,5
Hyperstrange,5
Erabit,5
Rosa Special Studio,5
Might and Delight,5
Senpai Studios,5
Thunderful Publishing,5
Wadjet Eye Games,5
11 bit studios,5
Hawthorn Games,5
CreativeForge Games,4
Skybound Games,4
Frozen Way,4
INSTINCT3,4
Kasedo Games,4
Zoo Corporation,4
Stress Level Zero,4
Crytek,4
Sixteen Tons Entertainment,4
Mature Games,4
Astrolabe Games,4
Rusty Lake,4
GameHouse,4
Yacht Club Games,4
Pirates Of The Digital Sea,4
GameMill Entertainment,4
The Arcade Crew,4
Kitfox Games,4
Toplitz Productions,4
SOEDESCO,4
JAST,4
IllFonic Publishing,4
Hitcents,4
Whitethorn Games,4
aNCHOR Inc.,4
Chucklefish,4
Kazakov Oleg,4
Yogscast Games,4
eTIRUe,4
NekoNyan Ltd.,4
Ghost_RUS Games,4
Wired Productions,4
GDNomaD,4
Silver Lining Interactive,4
"USERJOY Technology Co.,Ltd.",4
Strange Scaffold,4
Room710Games,4
Anatoliy Loginovskikh,4
Lightning Games,4
D3PUBLISHER,4
K Bros Games,4
Fast Travel Games,4
Aniplex Inc.,4
Rogueside,4
room6,4
Feodosiy,4
072 Project,4
Interplay Inc.,4
Ravenage Games,4
Secret Mode,4
Fruitbat Factory,4
"FromSoftware, Inc.",4
Milkstone Studios,4
Ravenscourt,4
Eversim,4
Feral Interactive (Mac/Linux),4
Tripwire Interactive,4
Aspyr,4
WB Games,4
Frogwares,4
Knuckle Cracker,4
Size Five Games,4
Nival,4
"Dejobaan Games, LLC",4
Tripwire Presents,3
Vaka Game Magazine,3
Bloober Team SA,3
Jetdogs Studios,3
Konnichiwa Games,3
Reiza Studios,3
"Rogue Games, Inc.",3
Kavkaz Sila Games,3
PixelGreeds,3
Stray Fawn Publishing,3
Mode 7,3
Retroware,3
Cotton Game,3
Bandai Namco Entertainment Inc.,3
Devcats,3
"Nicalis, Inc.",3
RockGame S.A.,3
FreeMind S.A.,3
SakuraGame,3
7DOTS,3
Playsaurus,3
No.25,3
HeartBeat Games,3
Ripstone,3
TimeGate Studios,3
Silver Lemur Games,3
Broken Rules,3
SUPERHOT PRESENTS,3
Hunny Bunny Studio,3
TAITO CORP.,3
CD PROJEKT RED,3
Survios,3
Zen Studios,3
HeR Interactive,3
Blue Isle Publishing,3
Playstack,3
Entropy Digital Entertainment,3
